ticket_id,customer_id,issue_type,response_time,resolution_status,feedback_rating
T0170,,Account Issue,37 hours,Pending,2.6
T0171,C18635,,28 hours,Escalated,3.1
T0172,C33889,Refund Request,21 hours,Escalated,1.2
T0173,C76175,Order Delay,31 hours,Escalated,1.1
T0174,C45456,Account Issue,47 hours,Escalated,4.2
T0175,C21901,Order Delay,47 hours,Resolved,3.5
T0176,C35457,Refund Request,7 hours,Pending,3.6
T0177,C70037,Product Inquiry,4 hours,Pending,2.4
T0178,C25480,Account Issue,1 hours,Resolved,1.5
T0179,C82031,Account Issue,37 hours,Pending,2.3
T0180,C91682,Product Inquiry,9 hours,Escalated,
T0181,C70857,Refund Request,16 hours,Escalated,1.5
T0182,C58388,Product Inquiry,14 hours,,3.1
T0183,C32435,,28 hours,Resolved,2.6
T0184,C31892,Account Issue,42 hours,Resolved,2.7
T0185,C20107,Refund Request,6 hours,Pending,1.8
T0186,C20353,Account Issue,22 hours,Pending,3.0
T0187,C06739,Account Issue,6 hours,Escalated,1.8
T0188,C30410,Order Delay,9 hours,Pending,1.9
T0189,C70515,Order Delay,13 hours,Escalated,1.2
T0190,C42441,Order Delay,7 hours,Escalated,3.9
T0191,C05050,Refund Request,25 hours,Escalated,2.1
T0192,C71796,Order Delay,8 hours,Resolved,4.8
T0193,C19280,Order Delay,40 hours,Pending,2.3
T0194,C29928,Account Issue,45 hours,Pending,4.0
T0195,C73679,Account Issue,42 hours,Resolved,3.4
T0196,C05761,Refund Request,5 hours,Resolved,4.7
T0197,C88886,Order Delay,17 hours,Escalated,4.2
T0198,C00292,Product Inquiry,39 hours,Pending,4.0
T0199,C38152,Order Delay,18 hours,Resolved,2.6
T0200,C16171,Product Inquiry,47 hours,Resolved,4.5
T0201,C33803,Refund Request,41 hours,Resolved,3.7
T0202,C89648,Account Issue,19 hours,Resolved,1.2
T0203,C16835,Product Inquiry,26 hours,Pending,2.8
T0204,C10484,Order Delay,37 hours,Resolved,1.3
T0205,C11730,Account Issue,2 hours,Resolved,1.4
T0206,C88388,Product Inquiry,39 hours,Pending,3.0
T0207,C99666,Refund Request,30 hours,Pending,4.6
T0208,,Order Delay,10 hours,Resolved,4.1
T0209,C60583,Order Delay,47 hours,,2.0
T0210,C56778,Product Inquiry,38 hours,,2.1
T0211,,Product Inquiry,8 hours,Pending,1.5
T0212,C66330,Refund Request,6 hours,Pending,1.7
T0213,C80610,Order Delay,,Resolved,4.9
T0214,C33688,Refund Request,21 hours,Pending,2.7
T0215,C99597,Product Inquiry,42 hours,Pending,3.9
T0216,C56946,Order Delay,47 hours,Escalated,4.0
T0217,,Account Issue,16 hours,Pending,1.1
T0218,C21372,Refund Request,43 hours,Escalated,1.4
T0219,C94943,Order Delay,34 hours,Pending,1.1
T0220,C31686,Product Inquiry,44 hours,Escalated,2.0
T0221,C78618,Refund Request,16 hours,Resolved,2.8
T0222,C08992,,41 hours,Escalated,2.6
T0223,C34435,Refund Request,30 hours,Pending,3.3
T0224,C44483,Refund Request,26 hours,Pending,4.1
T0225,C63820,Product Inquiry,6 hours,Pending,1.1
T0226,C56143,Product Inquiry,42 hours,Escalated,3.1
T0227,C24871,Product Inquiry,40 hours,Resolved,3.1
T0228,C65519,Order Delay,45 hours,Pending,1.8
T0229,C33299,Product Inquiry,25 hours,Resolved,3.2
T0230,C53142,Account Issue,6 hours,Resolved,2.1
T0231,C92992,Order Delay,6 hours,Resolved,4.7
T0232,C77095,Refund Request,36 hours,,3.1
T0233,C25048,Product Inquiry,34 hours,Resolved,3.2
T0234,C27072,,,Resolved,1.1
T0235,C95629,Refund Request,22 hours,Escalated,1.3
T0236,C40686,Account Issue,33 hours,Escalated,
T0237,C16132,Order Delay,26 hours,Resolved,3.3
T0238,C40868,Product Inquiry,44 hours,Escalated,5.0
T0239,C76657,Product Inquiry,8 hours,Pending,4.9
T0240,C43029,Refund Request,24 hours,,2.5
T0241,C81012,Account Issue,9 hours,Pending,1.4
T0242,C77066,Order Delay,13 hours,Pending,2.2
T0243,C57157,Order Delay,37 hours,Resolved,4.0
T0244,C35872,Order Delay,20 hours,Resolved,1.3
T0245,C22644,Product Inquiry,33 hours,Pending,3.1
T0246,C38808,Order Delay,37 hours,Pending,4.9
T0247,C68437,Account Issue,4 hours,Escalated,3.4
T0248,,Account Issue,5 hours,Resolved,3.6
T0249,C89646,Account Issue,38 hours,Resolved,2.3
T0250,C08513,Product Inquiry,39 hours,Pending,3.8
T0251,C32234,Account Issue,18 hours,Resolved,4.8
T0252,C09401,Account Issue,48 hours,Resolved,4.7
T0253,C71229,Refund Request,23 hours,Escalated,1.0
T0254,C80848,Product Inquiry,41 hours,Resolved,2.1
T0255,C03597,Refund Request,10 hours,Resolved,3.7
T0256,C33567,Order Delay,20 hours,Pending,2.8
T0257,C55665,Refund Request,45 hours,Resolved,4.3
T0258,C68552,Order Delay,39 hours,Resolved,1.8
T0259,C32130,Product Inquiry,8 hours,Resolved,1.8
T0260,C96787,Account Issue,3 hours,Escalated,3.1
T0261,C30775,Order Delay,43 hours,Pending,3.5
T0262,C46907,Refund Request,34 hours,Escalated,2.0
T0263,C57968,Product Inquiry,18 hours,,2.2
T0264,C96464,Product Inquiry,10 hours,Resolved,1.6
T0265,C03046,Order Delay,31 hours,Resolved,3.3
T0266,C70156,Refund Request,,Escalated,3.8
T0267,C38172,Product Inquiry,4 hours,Pending,1.1
T0268,C72533,Order Delay,4 hours,Resolved,2.1
T0269,C85784,Refund Request,23 hours,Escalated,1.2
T0270,C65958,Account Issue,10 hours,Resolved,1.6
T0271,C90292,Refund Request,5 hours,Escalated,4.0
T0272,C18971,Refund Request,13 hours,Escalated,
T0273,C94635,Order Delay,14 hours,Resolved,2.3
T0274,C33902,Account Issue,6 hours,Resolved,3.8
T0275,C81421,Product Inquiry,9 hours,Resolved,4.7
T0276,C56979,Order Delay,47 hours,Resolved,3.2
T0277,C47094,Refund Request,39 hours,Pending,2.0
T0278,C33123,Account Issue,,,4.5
T0279,C15073,Order Delay,14 hours,Escalated,1.1
T0280,C09412,Account Issue,18 hours,Resolved,4.1
T0281,C83803,Account Issue,8 hours,Resolved,2.8
T0282,C80041,Product Inquiry,19 hours,Escalated,3.6
T0283,C26631,Order Delay,39 hours,Resolved,4.2
T0284,C27718,Order Delay,17 hours,Resolved,2.2
T0285,C49736,Order Delay,26 hours,Escalated,
T0286,C76896,Product Inquiry,5 hours,Pending,2.1
T0287,C75448,Product Inquiry,47 hours,Resolved,3.2
T0288,C73115,Product Inquiry,15 hours,Pending,3.5
T0289,C41132,Product Inquiry,15 hours,Resolved,4.8
T0290,C19256,Order Delay,15 hours,Escalated,2.3
T0291,C87694,,34 hours,Escalated,5.0
T0292,C79096,Refund Request,31 hours,Resolved,
T0293,C84515,Product Inquiry,46 hours,,2.4
T0294,C28655,Product Inquiry,29 hours,Pending,4.9
T0295,C17061,Product Inquiry,17 hours,Pending,4.6
T0296,C39821,Account Issue,20 hours,Pending,1.0
T0297,C07665,Refund Request,40 hours,,3.6
T0298,C80236,Refund Request,23 hours,Pending,4.2
T0299,C34843,Order Delay,27 hours,Escalated,1.1
T0300,C08717,Order Delay,44 hours,Resolved,3.0
T0301,C00208,Product Inquiry,,Escalated,2.4
T0302,C91555,Refund Request,5 hours,Resolved,4.7
T0303,C64768,Order Delay,48 hours,Escalated,3.1
T0304,C79644,Order Delay,28 hours,,3.0
T0305,C34665,Refund Request,47 hours,Pending,1.8
T0306,C03859,Refund Request,24 hours,Pending,3.8
T0307,C81209,Refund Request,33 hours,Resolved,1.9
T0308,C40687,,45 hours,Pending,3.7
T0309,C05887,Account Issue,29 hours,Escalated,3.3
T0310,C77876,Account Issue,37 hours,Resolved,1.1
T0311,,Product Inquiry,9 hours,,3.3
T0312,C94569,Refund Request,41 hours,Resolved,1.1
T0313,C31135,Account Issue,12 hours,Resolved,1.3
T0314,C10826,Account Issue,43 hours,Pending,1.3
T0315,,Refund Request,6 hours,Resolved,
T0316,C16841,Refund Request,42 hours,Escalated,1.9
T0317,C02932,Product Inquiry,6 hours,Pending,1.3
T0318,C39984,Refund Request,20 hours,Resolved,3.1
T0319,,Order Delay,43 hours,Resolved,1.9
T0320,C72135,Account Issue,18 hours,Escalated,4.2
T0321,C40467,Refund Request,,Pending,4.6
T0322,C97567,Product Inquiry,25 hours,Escalated,3.9
T0323,C14309,Product Inquiry,3 hours,Escalated,1.1
T0324,C20297,Account Issue,13 hours,Resolved,2.3
T0325,C03308,Account Issue,23 hours,Escalated,3.0
T0326,C53423,Refund Request,44 hours,,3.4
T0327,C94675,Refund Request,32 hours,Resolved,1.2
T0328,C39267,,10 hours,Pending,1.3
T0329,C10353,Order Delay,44 hours,Escalated,2.3
T0330,C11900,Product Inquiry,11 hours,Resolved,4.3
T0331,C40862,,4 hours,Pending,1.7
T0332,C71720,Refund Request,42 hours,Escalated,4.8
T0333,C83577,Order Delay,12 hours,Escalated,1.3
T0334,C84871,Account Issue,46 hours,Resolved,1.6
T0335,C93019,Account Issue,17 hours,Pending,1.1
T0336,C73490,Refund Request,22 hours,Resolved,2.5
T0337,C24994,Product Inquiry,13 hours,Resolved,2.3
T0338,C24732,Account Issue,2 hours,Escalated,3.5
T0339,C49246,Product Inquiry,33 hours,Escalated,3.7
T0340,C72658,Order Delay,4 hours,Escalated,2.1
T0341,C68116,Product Inquiry,3 hours,Escalated,1.5
T0342,C94097,Refund Request,22 hours,,2.4
T0343,C37692,Account Issue,43 hours,Escalated,1.8
T0344,C40387,Order Delay,14 hours,Escalated,4.1
T0345,C44648,Account Issue,7 hours,Resolved,4.3
T0346,C90765,Refund Request,46 hours,Resolved,1.9
T0347,C06810,Refund Request,34 hours,Escalated,2.1
T0348,,Refund Request,9 hours,,1.8
T0349,C78425,Order Delay,21 hours,Escalated,1.4
T0350,C79260,Refund Request,1 hours,Pending,2.5
T0351,C19111,Refund Request,20 hours,Pending,
T0352,C85200,Product Inquiry,3 hours,Resolved,1.2
T0353,C03807,Refund Request,25 hours,Escalated,3.2
T0354,C17240,Order Delay,44 hours,Pending,3.0
T0355,C47417,Product Inquiry,4 hours,Pending,2.3
T0356,C54775,Order Delay,9 hours,Escalated,4.7
T0357,C15306,Product Inquiry,21 hours,Escalated,1.4
T0358,C68241,Order Delay,37 hours,Escalated,1.4
T0359,C40545,Product Inquiry,,Pending,2.3
T0360,C28340,Account Issue,18 hours,Escalated,1.5
T0361,C03029,Product Inquiry,32 hours,Escalated,1.1
T0362,C35512,Order Delay,42 hours,Escalated,3.5
T0363,C47600,Refund Request,12 hours,Escalated,2.2
T0364,C54251,Refund Request,13 hours,Resolved,3.0
T0365,C24677,Account Issue,24 hours,Resolved,1.3
T0366,C65165,Order Delay,8 hours,Escalated,2.3
T0367,C23453,Order Delay,44 hours,Resolved,4.7
T0368,C88649,Product Inquiry,34 hours,Resolved,4.5
T0369,C90461,Refund Request,19 hours,Pending,2.3
T0370,C68111,Order Delay,9 hours,,4.0
T0371,,Product Inquiry,16 hours,Pending,2.2
T0372,C66964,Refund Request,9 hours,Resolved,2.0
T0373,C29058,Refund Request,40 hours,Resolved,4.4
T0374,C75832,Account Issue,44 hours,Escalated,4.3
T0375,C72964,,29 hours,Pending,2.7
T0376,C92292,Order Delay,7 hours,Resolved,
T0377,C48788,Refund Request,48 hours,Pending,4.0
T0378,C60839,Order Delay,6 hours,Pending,3.7
T0379,C44975,Order Delay,34 hours,Pending,4.3
T0380,C47651,Product Inquiry,13 hours,Resolved,2.9
T0381,,Account Issue,43 hours,Resolved,4.3
T0382,C35713,Product Inquiry,20 hours,Pending,3.3
T0383,,Account Issue,2 hours,Pending,1.0
T0384,C29190,,6 hours,Escalated,1.5
T0385,C73046,Account Issue,31 hours,Resolved,1.3
T0386,C82084,,46 hours,Resolved,2.8
T0387,C43854,Account Issue,21 hours,Pending,1.4
T0388,C83694,Account Issue,19 hours,Resolved,1.3
T0389,C53148,Order Delay,3 hours,Pending,3.6
T0390,C37590,Account Issue,43 hours,Escalated,3.7
T0391,C72436,Product Inquiry,28 hours,Escalated,1.2
T0392,C00082,Product Inquiry,35 hours,Escalated,1.7
T0393,C42991,Refund Request,2 hours,Pending,1.1
T0394,C83589,Account Issue,40 hours,Escalated,3.3
T0395,C11670,Account Issue,13 hours,Escalated,2.2
T0396,C09849,Account Issue,29 hours,Escalated,4.2
T0397,C62158,Refund Request,29 hours,Escalated,1.5
T0398,,Product Inquiry,34 hours,Pending,3.9
T0399,C18453,Account Issue,45 hours,Resolved,1.2
T0400,,Product Inquiry,10 hours,Escalated,2.2
T0401,C76685,Product Inquiry,8 hours,Resolved,2.8
T0402,C94125,Product Inquiry,42 hours,Resolved,5.0
T0403,C83277,Refund Request,37 hours,Pending,1.7
T0404,C86457,Product Inquiry,12 hours,Resolved,2.1
T0405,,Refund Request,12 hours,Resolved,2.1
T0406,C72165,Account Issue,8 hours,Resolved,1.7
T0407,C22374,Product Inquiry,5 hours,Pending,2.2
T0408,C65104,Order Delay,20 hours,Pending,3.9
T0409,C97423,Account Issue,7 hours,Escalated,4.7
T0410,C01087,Order Delay,38 hours,Escalated,4.2
T0411,C93247,Refund Request,4 hours,Resolved,3.2
T0412,C09750,Product Inquiry,16 hours,Pending,4.4
T0413,C16028,,5 hours,Escalated,2.2
T0414,C34203,Refund Request,29 hours,Escalated,4.7
T0415,C05310,,47 hours,Resolved,2.1
T0416,C94085,Refund Request,37 hours,Escalated,2.1
T0417,C80829,Product Inquiry,9 hours,Pending,1.9
T0418,C34352,Refund Request,14 hours,Resolved,3.3
T0419,C41122,Order Delay,7 hours,Pending,4.9
T0420,C09829,Refund Request,45 hours,Pending,2.7
T0421,C63328,Refund Request,43 hours,Resolved,4.6
T0422,C36665,Order Delay,1 hours,Resolved,2.4
T0423,C34815,Product Inquiry,41 hours,Resolved,4.4
T0424,C48313,Product Inquiry,14 hours,Pending,
T0425,C73039,Account Issue,20 hours,Pending,3.4
T0426,C02641,Refund Request,1 hours,Pending,2.6
T0427,C58513,Account Issue,29 hours,Resolved,3.5
T0428,C33833,Refund Request,37 hours,Pending,2.4
T0429,C44429,Order Delay,7 hours,Pending,3.0
T0430,C70335,Product Inquiry,1 hours,,5.0
T0431,C03938,Order Delay,30 hours,Pending,1.8
T0432,C95251,Product Inquiry,7 hours,Resolved,1.7
T0433,C71545,Order Delay,40 hours,Escalated,3.3
T0434,C81373,Refund Request,6 hours,Pending,1.9
T0435,C86658,Product Inquiry,4 hours,Resolved,2.6
T0436,C93106,Product Inquiry,24 hours,Escalated,4.6
T0437,C37147,Product Inquiry,27 hours,Escalated,
T0438,C21331,Account Issue,,Resolved,2.4
T0439,C87976,Account Issue,15 hours,Resolved,1.8
T0440,C16782,Account Issue,10 hours,Pending,4.2
T0441,C43560,Product Inquiry,28 hours,Pending,1.8
T0442,C51655,Product Inquiry,8 hours,Resolved,2.1
T0443,C32845,Product Inquiry,3 hours,Escalated,1.2
T0444,C21583,Product Inquiry,38 hours,Pending,3.4
T0445,C69195,,27 hours,Pending,4.2
T0446,C72692,Order Delay,18 hours,Escalated,3.0
T0447,C94838,Order Delay,26 hours,Resolved,3.7
T0448,C74209,Order Delay,30 hours,Pending,1.2
T0449,C74874,Product Inquiry,5 hours,Pending,3.7
T0450,C98761,Refund Request,4 hours,Pending,1.1
T0451,C73681,Refund Request,33 hours,Resolved,1.3
T0452,C86687,Account Issue,12 hours,Resolved,
T0453,C74981,Product Inquiry,21 hours,Escalated,3.6
T0454,C92045,Account Issue,34 hours,Pending,2.7
T0455,C56059,Refund Request,7 hours,Pending,2.5
T0456,C89155,,17 hours,Resolved,2.8
T0457,C34125,Refund Request,17 hours,Escalated,2.8
T0458,C36313,Account Issue,33 hours,Resolved,4.4
T0459,C96522,Refund Request,21 hours,Escalated,4.2
T0460,C01534,Product Inquiry,,,4.6
T0461,C39699,,1 hours,Escalated,5.0
T0462,C32059,Refund Request,6 hours,Resolved,1.4
T0463,C01712,Product Inquiry,33 hours,Pending,1.1
T0464,C33871,Refund Request,15 hours,Resolved,
T0465,C74180,Refund Request,28 hours,Pending,4.4
T0466,C84584,Order Delay,3 hours,Resolved,2.4
T0467,C43400,Order Delay,43 hours,,1.2
T0468,C77237,Product Inquiry,2 hours,Pending,4.7
T0469,C11565,Account Issue,38 hours,Resolved,3.8
T0470,C63421,Refund Request,25 hours,Resolved,1.2
T0471,C75879,Account Issue,,Pending,3.6
T0472,C96832,Refund Request,12 hours,Resolved,1.1
T0473,C92933,Product Inquiry,15 hours,Pending,3.7
T0474,C61792,Order Delay,8 hours,Resolved,4.9
T0475,C14888,Refund Request,20 hours,Escalated,2.6
T0476,C08708,Order Delay,12 hours,Resolved,4.2
T0477,C49442,Product Inquiry,16 hours,Resolved,3.3
T0478,C87972,Account Issue,42 hours,Escalated,2.5
T0479,C29630,Refund Request,10 hours,Pending,4.4
T0480,C21249,Order Delay,,Pending,3.1
T0481,C66294,Product Inquiry,11 hours,Escalated,4.5
T0482,,Account Issue,31 hours,Resolved,2.1
T0483,C56698,Order Delay,28 hours,Resolved,4.0
T0484,C88468,Product Inquiry,39 hours,Resolved,4.0
T0485,C65756,Order Delay,9 hours,Escalated,3.0
T0486,C39917,Refund Request,23 hours,Escalated,3.8
T0487,C33772,Order Delay,21 hours,Escalated,1.7
T0488,C44351,Account Issue,17 hours,Pending,2.3
T0489,C49923,Order Delay,12 hours,Resolved,4.3
T0490,C56790,Product Inquiry,4 hours,,3.8
T0491,C81884,Account Issue,16 hours,Escalated,1.7
T0492,C32162,Account Issue,33 hours,Escalated,1.6
T0493,C87903,Account Issue,15 hours,Resolved,3.1
T0494,C96447,,33 hours,Pending,3.0
T0495,C45630,Account Issue,9 hours,Escalated,4.6
T0496,C30790,Order Delay,28 hours,Escalated,3.8
T0497,C56557,Refund Request,33 hours,Pending,2.5
T0498,C49651,Refund Request,31 hours,Pending,5.0
T0499,C76615,Account Issue,11 hours,Escalated,3.7
T0500,C60584,Account Issue,20 hours,Pending,3.4
T0501,C20292,Order Delay,12 hours,Resolved,2.6
T0502,C94246,Product Inquiry,9 hours,Resolved,3.2
T0503,C87416,Product Inquiry,47 hours,Escalated,2.3
T0504,C28592,Refund Request,10 hours,Resolved,1.2
T0505,C52191,Order Delay,,Pending,2.8
T0506,C46649,Order Delay,5 hours,Resolved,1.5
T0507,C83834,Product Inquiry,16 hours,Escalated,
T0508,C79772,Refund Request,3 hours,Pending,4.0
T0509,C41605,Order Delay,31 hours,Resolved,3.0
